Time;     A1;     A2;     A3
0,05307004;10,03;-0,4;0,34
0,053378587;10;-0,37;0,37
0,053687134;9,97;-0,37;0,34
0,05399568;9,97;-0,37;0,34
0,054304227;9,97;-0,34;0,29
0,054612774;9,97;-0,37;0,26
0,054921321;9,97;-0,37;0,2
0,055229867;9,97;-0,37;0,2
0,055538414;9,94;-0,34;0,26
0,055846961;10;-0,37;0,23
0,056155508;10,03;-0,34;0,26
0,056464054;9,97;-0,37;0,29
0,056772601;10,03;-0,37;0,32
0,057081148;10,06;-0,37;0,32
0,057389695;9,97;-0,4;0,34
0,057698241;9,97;-0,4;0,37
0,058006788;10;-0,34;0,34
0,058315335;10,03;-0,37;0,34
0,058623882;10;-0,37;0,29
0,058932428;9,94;-0,4;0,26
0,059240975;9,94;-0,37;0,23
0,059549522;9,97;-0,37;0,23
0,059858068;9,94;-0,34;0,2
0,060166615;9,94;-0,37;0,23
0,060475162;9,97;-0,34;0,2
0,060783709;9,97;-0,37;0,26
0,061092255;10,03;-0,37;0,29
0,061400802;10;-0,37;0,32
0,061709349;9,97;-0,34;0,34
0,062017896;10,03;-0,4;0,37
0,062326442;10;-0,4;0,34
0,062634989;9,94;-0,37;0,34
0,062943536;10;-0,4;0,32
0,063252083;9,97;-0,37;0,32
0,063560629;9,94;-0,4;0,29
0,063869176;9,97;-0,37;0,23
0,064177723;9,94;-0,37;0,23
0,06448627;9,97;-0,37;0,23
0,064794816;9,97;-0,34;0,23
0,065103363;9,97;-0,37;0,23
0,06541191;9,97;-0,37;0,26
0,065720457;9,94;-0,37;0,29
0,066029003;10;-0,37;0,32
0,06633755;10,03;-0,4;0,32
0,066646097;10;-0,4;0,32
0,066954644;9,97;-0,37;0,34
0,06726319;10;-0,37;0,32
0,067571737;9,97;-0,34;0,32
0,067880284;9,94;-0,37;0,29
0,068188831;10;-0,37;0,26
0,068497377;9,97;-0,34;0,23
0,068805924;9,94;-0,37;0,23
0,069114471;9,97;-0,37;0,2
0,069423018;9,94;-0,37;0,23
0,069731564;9,97;-0,34;0,23
0,070040111;9,97;-0,37;0,2
0,070348658;9,97;-0,4;0,23
0,070657205;10,06;-0,37;0,32
0,070965751;10,06;-0,34;0,32
0,071274298;9,94;-0,37;0,34
0,071582845;9,94;-0,4;0,34
0,071891392;10,06;-0,37;0,37
0,072199938;10,06;-0,37;0,32
0,072508485;9,97;-0,4;0,29
0,072817032;9,94;-0,37;0,32
0,073125579;9,97;-0,37;0,29
0,073434125;9,97;-0,37;0,26
0,073742672;9,94;-0,37;0,2
0,074051219;9,97;-0,37;0,23
0,074359766;9,94;-0,34;0,2
0,074668312;9,94;-0,37;0,2
0,074976859;9,97;-0,37;0,26
0,075285406;10,03;-0,37;0,29
0,075593952;10,06;-0,37;0,34
0,075902499;10,03;-0,4;0,37
0,076211046;10;-0,37;0,34
0,076519593;10,03;-0,37;0,34
0,076828139;10;-0,37;0,34
0,077136686;9,97;-0,4;0,32
0,077445233;9,97;-0,37;0,34
0,07775378;9,94;-0,4;0,29
0,078062326;9,97;-0,37;0,23
0,078370873;9,97;-0,37;0,2
0,07867942;9,97;-0,37;0,23
0,078987967;10;-0,37;0,2
0,079296513;9,97;-0,34;0,23
0,07960506;9,97;-0,37;0,23
0,079913607;10,03;-0,37;0,26
0,080222154;9,97;-0,4;0,32
0,0805307;10,06;-0,34;0,34
0,080839247;10,03;-0,34;0,34
0,081147794;9,94;-0,37;0,34
0,081456341;10,03;-0,4;0,32
0,081764887;10;-0,34;0,32
0,082073434;9,97;-0,37;0,32
0,082381981;10,06;-0,4;0,29
0,082690528;9,97;-0,37;0,23
0,082999074;9,94;-0,37;0,2
0,083307621;9,97;-0,37;0,23
0,083616168;9,97;-0,37;0,23
0,083924715;10;-0,37;0,26
0,084233261;9,94;-0,37;0,29
0,084541808;10;-0,37;0,32
0,084850355;10,03;-0,37;0,32
0,085158902;10;-0,4;0,37
0,085467448;9,97;-0,37;0,34
0,085775995;10;-0,37;0,34
0,086084542;9,97;-0,4;0,34
0,086393089;10;-0,37;0,32
0,086701635;9,97;-0,4;0,32
0,087010182;9,97;-0,4;0,29
0,087318729;10;-0,37;0,23
0,087627276;9,97;-0,37;0,23
0,087935822;9,97;-0,34;0,23
0,088244369;9,97;-0,37;0,23
0,088552916;10;-0,37;0,2
0,088861463;9,97;-0,37;0,26
0,089170009;10;-0,37;0,29
0,089478556;9,97;-0,4;0,32
0,089787103;10;-0,37;0,32
0,090095649;10,06;-0,37;0,32
0,090404196;10,03;-0,4;0,32
0,090712743;10;-0,37;0,37
0,09102129;9,97;-0,4;0,32
0,091329836;9,97;-0,37;0,32
0,091638383;9,97;-0,37;0,32
0,09194693;10;-0,37;0,26
0,092255477;9,94;-0,34;0,2
0,092564023;9,97;-0,37;0,23
0,09287257;10;-0,34;0,2
0,093181117;9,97;-0,37;0,23
0,093489664;10;-0,37;0,2
0,09379821;9,97;-0,34;0,26
0,094106757;9,97;-0,37;0,29
0,094415304;10,03;-0,37;0,32
0,094723851;9,97;-0,37;0,32
0,095032397;10;-0,37;0,32
0,095340944;10,03;-0,37;0,34
0,095649491;9,97;-0,4;0,34
0,095958038;10,03;-0,4;0,34
0,096266584;10,06;-0,37;0,32
0,096575131;9,94;-0,37;0,26
0,096883678;10;-0,4;0,23
0,097192225;9,97;-0,34;0,23
0,097500771;9,97;-0,37;0,2
0,097809318;9,97;-0,34;0,23
0,098117865;10;-0,37;0,23
0,098426412;10;-0,37;0,26
0,098734958;9,94;-0,37;0,29
0,099043505;10;-0,37;0,32
0,099352052;10,03;-0,4;0,32
0,099660599;9,97;-0,37;0,37
0,099969145;10,03;-0,4;0,34
0,100277692;10;-0,4;0,32
0,100586239;10;-0,37;0,32
0,100894786;9,97;-0,37;0,29
0,101203332;9,94;-0,37;0,26
0,101511879;10,06;-0,37;0,2
0,101820426;9,94;-0,37;0,23
0,102128973;9,92;-0,34;0,23
0,102437519;10,03;-0,37;0,2
0,102746066;9,94;-0,37;0,26
0,103054613;10,03;-0,37;0,29
0,10336316;10,06;-0,37;0,32
0,103671706;9,94;-0,37;0,32
0,103980253;9,97;-0,4;0,34
0,1042888;10,03;-0,4;0,34
0,104597346;10;-0,37;0,37
0,104905893;9,97;-0,37;0,34
0,10521444;9,97;-0,37;0,34
0,105522987;10,03;-0,37;0,29
0,105831533;10;-0,37;0,32
0,10614008;9,94;-0,37;0,29
0,106448627;9,94;-0,34;0,23
0,106757174;9,97;-0,37;0,23
0,10706572;9,97;-0,37;0,23
0,107374267;9,97;-0,34;0,26
0,107682814;9,97;-0,37;0,29
0,107991361;10;-0,37;0,26
0,108299907;9,97;-0,4;0,29
0,108608454;10;-0,37;0,34
0,108917001;9,97;-0,37;0,32
0,109225548;10;-0,37;0,32
0,109534094;10,03;-0,37;0,34
0,109842641;9,97;-0,4;0,32
0,110151188;10;-0,37;0,32
0,110459735;10,03;-0,37;0,29
0,110768281;10;-0,37;0,32
0,111076828;9,97;-0,37;0,23
0,111385375;9,97;-0,34;0,26
0,111693922;9,97;-0,37;0,29
0,112002468;9,94;-0,37;0,23
0,112311015;9,94;-0,4;0,23
0,112619562;10;-0,4;0,29
0,112928109;9,97;-0,37;0,26
0,113236655;9,97;-0,4;0,29
0,113545202;10,09;-0,37;0,34
0,113853749;10,03;-0,37;0,32
0,114162296;9,92;-0,37;0,37
0,114470842;10;-0,4;0,34
0,114779389;10,03;-0,37;0,29
0,115087936;10;-0,37;0,32
0,115396483;9,97;-0,4;0,29
0,115705029;9,97;-0,34;0,26
0,116013576;9,97;-0,37;0,2
0,116322123;9,97;-0,37;0,2
0,11663067;10;-0,37;0,23
0,116939216;9,97;-0,34;0,2
0,117247763;10;-0,37;0,23
0,11755631;10,03;-0,37;0,29
0,117864857;10;-0,34;0,32
0,118173403;9,97;-0,34;0,34
0,11848195;10;-0,4;0,34
0,118790497;9,97;-0,4;0,37
0,119099044;10;-0,37;0,34
0,11940759;9,97;-0,37;0,34
0,119716137;10;-0,37;0,32
0,120024684;9,97;-0,4;0,29
0,12033323;9,94;-0,34;0,23
0,120641777;9,97;-0,37;0,2
0,120950324;10;-0,4;0,2
0,121258871;9,94;-0,34;0,2
0,121567417;9,97;-0,34;0,23
0,121875964;9,94;-0,37;0,29
0,122184511;10;-0,34;0,32
0,122493058;10,03;-0,37;0,34
0,122801604;10;-0,37;0,37
0,123110151;10,03;-0,4;0,34
0,123418698;10;-0,37;0,37
0,123727245;9,97;-0,37;0,34
0,124035791;10;-0,37;0,34
0,124344338;9,97;-0,37;0,29
0,124652885;9,97;-0,37;0,23
0,124961432;10;-0,37;0,23
0,125269978;9,94;-0,37;0,23
0,125578525;9,97;-0,37;0,23
0,125887072;10,03;-0,37;0,23
0,126195619;9,97;-0,34;0,23
0,126504165;9,97;-0,37;0,26
0,126812712;9,97;-0,37;0,29
0,127121259;10,03;-0,34;0,32
0,127429806;10,06;-0,37;0,34
0,127738352;9,97;-0,34;0,34
0,128046899;9,94;-0,37;0,34
0,128355446;10;-0,4;0,32
0,128663993;9,94;-0,37;0,29
0,128972539;9,97;-0,4;0,26
0,129281086;10,06;-0,43;0,23
0,129589633;9,94;-0,37;0,26
0,12989818;9,92;-0,37;0,29
0,130206726;10;-0,37;0,23
0,130515273;9,97;-0,37;0,23
0,13082382;10;-0,34;0,26
0,131132367;9,97;-0,37;0,23
0,131440913;9,97;-0,37;0,23
0,13174946;9,97;-0,4;0,26
0,132058007;10;-0,37;0,29
0,132366554;10,03;-0,37;0,34
0,1326751;10;-0,37;0,34
0,132983647;9,97;-0,4;0,34
0,133292194;9,97;-0,37;0,32
0,133600741;10;-0,37;0,34
0,133909287;10,06;-0,37;0,32
0,134217834;9,92;-0,34;0,26
0,134526381;9,89;-0,37;0,2
0,134834927;10,06;-0,4;0,2
0,135143474;10,03;-0,37;0,23
0,135452021;9,92;-0,34;0,23
0,135760568;9,97;-0,37;0,26
0,136069114;10,03;-0,34;0,29
0,136377661;10;-0,4;0,32
0,136686208;9,94;-0,4;0,29
0,136994755;9,97;-0,34;0,34
0,137303301;10;-0,37;0,34
0,137611848;9,97;-0,37;0,34
0,137920395;10;-0,4;0,32
0,138228942;9,97;-0,34;0,32
0,138537488;9,94;-0,37;0,32
0,138846035;10,03;-0,4;0,29
0,139154582;10,06;-0,37;0,23
0,139463129;9,94;-0,37;0,23
0,139771675;9,92;-0,37;0,2
0,140080222;10;-0,37;0,2
0,140388769;10,03;-0,34;0,2
0,140697316;9,97;-0,37;0,26
0,141005862;9,94;-0,37;0,29
0,141314409;10;-0,37;0,34
0,141622956;10,03;-0,4;0,34
0,141931503;9,97;-0,37;0,37
0,142240049;9,97;-0,37;0,34
0,142548596;10,06;-0,34;0,32
0,142857143;10;-0,37;0,32
0,14316569;9,94;-0,37;0,29
0,143474236;9,97;-0,34;0,26
0,143782783;9,94;-0,37;0,2
0,14409133;9,97;-0,37;0,26
0,144399877;10;-0,37;0,2
0,144708423;9,94;-0,34;0,2
0,14501697;9,97;-0,37;0,23
0,145325517;9,97;-0,34;0,26
0,145634064;10;-0,37;0,29
0,14594261;10,06;-0,37;0,34
0,146251157;10;-0,37;0,32
0,146559704;9,92;-0,34;0,34
0,146868251;10;-0,4;0,32
0,147176797;10,03;-0,37;0,32
0,147485344;10;-0,37;0,34
0,147793891;9,97;-0,34;0,29
0,148102438;9,97;-0,37;0,26
0,148410984;9,97;-0,37;0,23
0,148719531;9,97;-0,37;0,23
0,149028078;9,97;-0,34;0,23
0,149336624;9,97;-0,37;0,2
0,149645171;9,97;-0,34;0,23
0,149953718;10;-0,37;0,29
0,150262265;9,97;-0,37;0,26
0,150570811;10;-0,37;0,29
0,150879358;9,97;-0,4;0,32
0,151187905;9,97;-0,37;0,34
0,151496452;10;-0,37;0,34
0,151804998;9,97;-0,37;0,32
0,152113545;9,97;-0,4;0,32
0,152422092;9,97;-0,37;0,34
0,152730639;9,97;-0,37;0,29
0,153039185;9,94;-0,37;0,26
0,153347732;9,94;-0,4;0,2
0,153656279;9,97;-0,37;0,2
0,153964826;9,97;-0,34;0,23
0,154273372;9,97;-0,34;0,23
0,154581919;9,97;-0,37;0,26
0,154890466;10;-0,34;0,23
0,155199013;10,03;-0,37;0,29
0,155507559;10,03;-0,37;0,34
0,155816106;10;-0,37;0,32
0,156124653;9,97;-0,37;0,37
0,1564332;10;-0,37;0,34
0,156741746;10;-0,37;0,32
0,157050293;10;-0,4;0,34
0,15735884;10;-0,37;0,29
0,157667387;9,97;-0,34;0,26
0,157975933;9,94;-0,37;0,23
0,15828448;9,97;-0,34;0,23
0,158593027;9,97;-0,34;0,2
0,158901574;9,97;-0,34;0,23
0,15921012;9,97;-0,37;0,2
0,159518667;9,94;-0,34;0,23
0,159827214;10;-0,37;0,29
0,160135761;9,97;-0,34;0,34
0,160444307;9,97;-0,37;0,34
0,160752854;10;-0,37;0,37
0,161061401;9,97;-0,37;0,34
0,161369948;10;-0,37;0,34
0,161678494;9,97;-0,37;0,32
0,161987041;9,94;-0,34;0,26
0,162295588;10,03;-0,37;0,23
0,162604135;9,97;-0,37;0,26
0,162912681;9,94;-0,34;0,23
