Time;     A1;     A2;     A3
0;10;-0,37;0,23
0,000308547;9,97;-0,37;0,23
0,000617189;9,97;-0,34;0,2
0,000925831;9,97;-0,37;0,2
0,001234473;10;-0,34;0,26
0,001543115;9,97;-0,37;0,23
0,001851757;10;-0,4;0,26
0,002160399;9,97;-0,37;0,29
0,002469041;9,97;-0,37;0,32
0,002777683;10;-0,37;0,34
0,003086325;9,97;-0,4;0,34
0,003394966;10;-0,4;0,34
0,003703608;9,97;-0,4;0,29
0,00401225;9,97;-0,4;0,32
0,004320892;10;-0,4;0,29
0,004629534;9,97;-0,37;0,23
0,004938176;9,97;-0,4;0,26
0,005246818;10,03;-0,34;0,29
0,00555546;9,97;-0,29;0,26
0,005864102;9,94;-0,34;0,23
0,006172744;9,97;-0,4;0,29
0,006481386;9,94;-0,34;0,32
0,006790028;9,92;-0,34;0,29
0,00709867;10;-0,37;0,32
0,007407312;10,06;-0,37;0,32
0,007715954;9,97;-0,37;0,32
0,008024596;9,97;-0,37;0,32
0,008333238;10,06;-0,4;0,34
0,00864188;9,97;-0,37;0,32
0,008950522;9,94;-0,37;0,29
0,009259164;10;-0,37;0,32
0,009567806;9,97;-0,4;0,29
0,009876448;9,97;-0,37;0,26
0,01018509;9,97;-0,34;0,23
0,010493732;10;-0,37;0,26
0,010802374;10;-0,34;0,26
0,011111016;9,97;-0,37;0,23
0,011419658;10;-0,37;0,26
0,0117283;9,97;-0,34;0,29
0,012036942;9,97;-0,37;0,32
0,012345584;10,03;-0,37;0,34
0,012654226;9,97;-0,4;0,34
0,012962868;10,03;-0,37;0,34
0,01327151;10,06;-0,4;0,29
0,013580152;9,94;-0,4;0,32
0,013888794;10,06;-0,37;0,29
0,014197436;10,06;-0,34;0,23
0,014506078;9,94;-0,37;0,26
0,01481472;9,94;-0,37;0,23
0,015123362;10;-0,34;0,2
0,015432004;9,97;-0,37;0,2
0,015740646;9,94;-0,37;0,23
0,016049287;10;-0,4;0,26
0,016357929;10,03;-0,37;0,29
0,016666571;10;-0,37;0,32
0,016975213;9,97;-0,37;0,32
0,017283855;10,03;-0,37;0,37
0,017592497;10;-0,4;0,34
0,017901139;9,94;-0,37;0,34
0,018209781;10,03;-0,4;0,29
0,018518423;10,03;-0,4;0,32
0,018827065;9,97;-0,37;0,29
0,019135707;9,94;-0,34;0,26
0,019444349;9,97;-0,37;0,2
0,019752991;10,06;-0,37;0,2
0,020061633;10,03;-0,34;0,23
0,020370275;9,89;-0,37;0,23
0,020678917;9,97;-0,34;0,26
0,020987559;10,09;-0,37;0,29
0,021296201;10,03;-0,37;0,34
0,021604843;10;-0,37;0,34
0,021913485;10;-0,37;0,37
0,022222127;10,03;-0,4;0,34
0,022530769;10,06;-0,4;0,32
0,022839411;9,97;-0,4;0,34
0,023148053;9,97;-0,37;0,32
0,023456695;10;-0,37;0,26
0,023765337;9,97;-0,34;0,2
0,024073979;9,97;-0,34;0,2
0,024382621;9,94;-0,34;0,23
0,024691263;9,97;-0,37;0,23
0,024999905;10;-0,34;0,2
0,025308547;9,94;-0,37;0,26
0,025617189;9,97;-0,4;0,29
0,025925831;10,03;-0,34;0,34
0,026234473;10,03;-0,37;0,34
0,026543115;10;-0,37;0,34
0,026851757;9,97;-0,37;0,34
0,027160399;9,97;-0,37;0,34
0,027469041;10,03;-0,4;0,34
0,027777683;10;-0,37;0,29
0,028086325;9,97;-0,4;0,26
0,028394966;9,97;-0,37;0,29
0,028703608;9,97;-0,37;0,23
0,02901225;9,97;-0,37;0,23
0,029320892;9,97;-0,37;0,26
0,029629534;9,97;-0,34;0,23
0,029938176;9,97;-0,37;0,26
0,030246818;10;-0,37;0,29
0,03055546;10;-0,37;0,34
0,030864102;10,03;-0,4;0,32
0,031172744;10;-0,34;0,34
0,031481386;9,97;-0,37;0,32
0,031790028;10,03;-0,4;0,32
0,03209867;10;-0,37;0,37
0,032407312;9,97;-0,37;0,32
0,032715954;10;-0,34;0,26
0,033024596;9,94;-0,37;0,29
0,033333238;9,97;-0,34;0,26
0,03364188;9,94;-0,37;0,23
0,033950522;9,94;-0,37;0,23
0,034259164;10;-0,34;0,2
0,034567806;9,97;-0,37;0,26
0,034876448;10;-0,37;0,29
0,03518509;9,97;-0,4;0,32
0,035493732;10;-0,37;0,32
0,035802374;10,03;-0,4;0,34
0,036111016;10;-0,4;0,34
0,036419658;9,94;-0,37;0,37
0,0367283;9,97;-0,4;0,32
0,037036942;10;-0,37;0,32
0,037345584;9,97;-0,37;0,32
0,037654226;9,97;-0,37;0,23
0,037962868;10;-0,37;0,23
0,03827151;9,97;-0,37;0,23
0,038580152;9,97;-0,34;0,23
0,038888794;10,03;-0,34;0,2
0,039197436;10;-0,37;0,2
0,039506078;9,97;-0,37;0,26
0,03981472;10;-0,34;0,32
0,040123362;9,97;-0,37;0,32
0,040432004;10,03;-0,37;0,34
0,040740646;10,06;-0,34;0,37
0,041049287;9,97;-0,37;0,37
0,041357929;9,97;-0,37;0,34
0,041666571;10;-0,37;0,34
0,041975213;9,97;-0,34;0,32
0,042283855;9,97;-0,37;0,29
0,042592497;9,97;-0,37;0,26
0,042901139;9,97;-0,34;0,2
0,043209781;9,97;-0,37;0,2
0,043518423;10;-0,34;0,23
0,043827065;9,97;-0,37;0,23
0,044135707;10;-0,37;0,26
0,044444349;10,03;-0,37;0,29
0,044752991;10;-0,37;0,34
0,045061633;9,97;-0,37;0,34
0,045370275;9,97;-0,37;0,34
0,045678917;10,06;-0,37;0,37
0,045987559;10,06;-0,4;0,32
0,046296201;10;-0,37;0,29
0,046604843;10,03;-0,37;0,32
0,046913485;9,94;-0,37;0,29
0,047222127;9,97;-0,4;0,26
0,047530769;10;-0,37;0,23
0,047839411;9,94;-0,34;0,23
0,048148053;10;-0,37;0,23
0,048456695;9,97;-0,37;0,26
0,048765337;9,97;-0,34;0,29
0,049073979;9,97;-0,37;0,32
0,049382621;9,97;-0,37;0,32
0,049691263;10,06;-0,4;0,34
0,049999905;10;-0,37;0,37
0,050308547;9,94;-0,37;0,32
0,050617189;10;-0,37;0,32
0,050925831;9,97;-0,4;0,32
0,051234473;9,97;-0,4;0,34
0,051543115;10,06;-0,37;0,29
0,051851757;9,97;-0,37;0,23
0,052160399;9,94;-0,37;0,26
0,052469041;9,97;-0,34;0,23
0,052777683;9,94;-0,37;0,23
0,053086325;10;-0,37;0,23
0,053394966;10,06;-0,37;0,23
0,053703608;9,97;-0,37;0,23
0,05401225;9,92;-0,4;0,29
0,054320892;10;-0,34;0,32
0,054629534;10,06;-0,34;0,34
0,054938176;10;-0,4;0,32
0,055246818;9,97;-0,37;0,34
0,05555546;10,06;-0,37;0,34
0,055864102;10,03;-0,37;0,32
0,056172744;9,97;-0,37;0,23
0,056481386;9,97;-0,34;0,26
