,Time,A1,A2,A3
26000,8.022215366,8.36,17.19,-2.59
26001,8.022523912,8.74,12.82,-1.24
26002,8.022832459,10.15,9.43,0.43
26003,8.023141006,11.78,7.87,2.36
26004,8.023449553,11.61,0.37,3.16
26005,8.023758099,11.84,-4.86,2.82
26006,8.024066646,11.24,-8.05,3.39
26007,8.024375193,10.06,-11.87,3.36
26008,8.02468374,9.83,-10.86,2.1
26009,8.024992286,9.63,-8.97,1.12
26010,8.025300833,10.78,-6.01,0.49
26011,8.02560938,10.89,-0.75,0.09
26012,8.025917927,10.0,1.87,-0.69
26013,8.026226473,10.46,4.08,-1.35
26014,8.02653502,10.49,6.09,-1.03
26015,8.026843567,10.63,5.49,-0.75
26016,8.027152114,10.09,3.59,-0.52
26017,8.02746066,10.35,1.7,-0.23
26018,8.027769207,10.55,-0.86,0.4
26019,8.028077754,9.11,-5.03,0.89
26020,8.028386301,10.81,-5.63,1.03
26021,8.028694847,9.8,-8.33,2.7
26022,8.029003394,7.24,-18.71,3.25
26023,8.029311941,10.26,-17.36,1.49
26024,8.029620488,9.8,-7.44,0.89
26025,8.029929034,8.88,-7.24,-0.23
26026,8.030237581,10.78,-1.72,-2.16
26027,8.030546128,8.85,10.2,-2.85
26028,8.030854674,8.48,11.9,-3.68
26029,8.031163221,8.82,12.96,-3.62
26030,8.031471768,7.59,17.36,-2.44
26031,8.031780315,8.62,14.89,-1.78
26032,8.032088861,9.63,10.84,-0.23
26033,8.032397408,10.98,9.89,1.9
26034,8.032705955,12.3,4.51,2.87
26035,8.033014502,12.01,-3.33,2.93
26036,8.033323048,11.73,-6.41,3.16
26037,8.033631595,10.52,-9.25,3.36
26038,8.033940142,9.71,-12.13,2.47
26039,8.034248689,10.09,-9.69,1.41
26040,8.034557235,10.15,-6.67,0.92
26041,8.034865782,10.52,-3.74,0.23
26042,8.035174329,10.66,1.29,-0.37
26043,8.035482876,10.29,3.33,-0.72
26044,8.035791422,10.38,4.25,-1.01
26045,8.036099969,10.63,6.01,-0.86
26046,8.036408516,10.29,3.88,-0.43
26047,8.036717063,10.0,1.7,-0.23
26048,8.037025609,10.29,0.52,0.23
26049,8.037334156,9.66,-4.14,0.8
26050,8.037642703,9.89,-5.55,0.78
26051,8.03795125,10.61,-7.13,1.84
26052,8.038259796,8.65,-15.58,3.45
26053,8.038568343,8.13,-17.96,2.41
26054,8.03887689,9.8,-12.85,0.83
26055,8.039185437,10.2,-7.85,0.46
26056,8.039493983,10.32,-1.47,-0.83
