Time;     A1;     A2;     A3
0,052761493;9,97;-0,37;0,23
0,05307004;9,94;-0,34;0,26
0,053378587;10,03;-0,4;0,29
0,053687134;10,06;-0,37;0,34
0,05399568;9,97;-0,37;0,34
0,054304227;10;-0,37;0,34
0,054612774;9,97;-0,4;0,37
0,054921321;9,97;-0,37;0,32
0,055229867;10,03;-0,37;0,26
0,055538414;9,97;-0,37;0,29
0,055846961;9,97;-0,37;0,23
0,056155508;9,97;-0,37;0,17
0,056464054;9,94;-0,34;0,23
0,056772601;10;-0,37;0,23
0,057081148;9,97;-0,32;0,23
0,057389695;9,97;-0,34;0,2
0,057698241;9,97;-0,34;0,26
0,058006788;9,97;-0,37;0,29
0,058315335;10,03;-0,37;0,32
0,058623882;10,06;-0,4;0,32
0,058932428;9,97;-0,37;0,34
0,059240975;10;-0,37;0,32
0,059549522;9,97;-0,4;0,34
0,059858068;9,97;-0,37;0,29
0,060166615;10,09;-0,37;0,26
0,060475162;9,97;-0,37;0,29
0,060783709;9,92;-0,4;0,26
0,061092255;10,03;-0,34;0,23
0,061400802;10;-0,32;0,26
0,061709349;9,97;-0,37;0,2
0,062017896;9,97;-0,34;0,2
0,062326442;9,97;-0,34;0,26
0,062634989;9,97;-0,37;0,29
0,062943536;9,97;-0,4;0,32
0,063252083;9,97;-0,4;0,32
0,063560629;10;-0,37;0,32
0,063869176;9,97;-0,37;0,37
0,064177723;9,97;-0,37;0,37
0,06448627;10,06;-0,37;0,37
0,064794816;10;-0,34;0,34
0,065103363;9,92;-0,34;0,29
0,06541191;10;-0,37;0,26
0,065720457;10,03;-0,4;0,23
0,066029003;9,94;-0,37;0,23
0,06633755;9,94;-0,34;0,2
0,066646097;9,97;-0,37;0,23
0,066954644;9,97;-0,37;0,23
0,06726319;9,94;-0,37;0,26
0,067571737;9,97;-0,34;0,29
0,067880284;10,03;-0,37;0,32
0,068188831;10;-0,4;0,32
0,068497377;9,97;-0,37;0,34
0,068805924;10;-0,4;0,34
0,069114471;10,03;-0,37;0,32
0,069423018;10;-0,4;0,32
0,069731564;9,97;-0,4;0,32
0,070040111;9,97;-0,37;0,23
0,070348658;10;-0,4;0,23
0,070657205;9,97;-0,37;0,2
0,070965751;9,94;-0,34;0,2
0,071274298;9,97;-0,34;0,23
0,071582845;10;-0,37;0,2
0,071891392;9,97;-0,37;0,26
0,072199938;9,94;-0,34;0,32
0,072508485;10;-0,37;0,34
0,072817032;10,03;-0,37;0,34
0,073125579;10;-0,4;0,34
0,073434125;10,06;-0,4;0,32
0,073742672;10,03;-0,37;0,32
0,074051219;9,94;-0,37;0,32
0,074359766;10,06;-0,4;0,32
0,074668312;10,06;-0,4;0,23
0,074976859;9,94;-0,32;0,2
0,075285406;9,97;-0,37;0,2
0,075593952;9,94;-0,4;0,2
0,075902499;9,97;-0,34;0,23
0,076211046;9,94;-0,37;0,23
0,076519593;9,94;-0,37;0,26
0,076828139;9,97;-0,34;0,32
0,077136686;10;-0,34;0,32
0,077445233;9,97;-0,4;0,34
0,07775378;10;-0,37;0,37
0,078062326;9,97;-0,4;0,34
0,078370873;10,03;-0,37;0,32
0,07867942;10,06;-0,4;0,32
0,078987967;9,97;-0,37;0,32
0,079296513;9,97;-0,37;0,32
0,07960506;10;-0,37;0,23
0,079913607;9,97;-0,37;0,23
0,080222154;10;-0,34;0,2
0,0805307;9,97;-0,37;0,23
0,080839247;9,97;-0,34;0,23
0,081147794;9,97;-0,37;0,26
0,081456341;9,97;-0,34;0,29
0,081764887;9,97;-0,37;0,34
0,082073434;10;-0,37;0,32
0,082381981;10,03;-0,37;0,34
0,082690528;10;-0,37;0,32
0,082999074;9,97;-0,4;0,34
