,Time,A1,A2,A3
16200,4.999999905,10.61,-0.69,0.52
16201,5.000308547,10.32,0.98,0.0
16202,5.000617189,10.32,1.78,-0.57
16203,5.000925831,10.17,2.82,-0.63
16204,5.001234473,10.03,2.56,-0.34
16205,5.001543115,10.29,1.18,-0.23
16206,5.001851757,9.63,0.09,-0.34
16207,5.002160399,9.71,-1.24,-0.06
16208,5.002469041,10.06,-3.36,0.66
16209,5.002777683,9.31,-3.62,0.75
16210,5.003086325,10.38,-4.94,0.95
16211,5.003394966,10.61,-8.22,2.16
16212,5.003703608,8.82,-8.39,2.18
16213,5.00401225,9.34,-7.96,0.75
16214,5.004320892,10.17,-4.22,0.23
16215,5.004629534,9.66,2.01,0.06
16216,5.004938176,9.4,2.87,-1.29
16217,5.005246818,9.28,5.06,-2.36
16218,5.00555546,9.31,8.39,-2.04
16219,5.005864102,9.46,7.67,-1.64
16220,5.006172744,9.43,7.36,-1.38
16221,5.006481386,9.4,5.86,-0.66
16222,5.006790028,10.32,3.62,0.34
16223,5.00709867,10.84,1.52,1.52
16224,5.007407312,10.46,-1.67,1.98
16225,5.007715954,10.61,-2.96,1.78
16226,5.008024596,10.4,-4.68,2.1
16227,5.008333238,10.17,-5.66,2.18
16228,5.00864188,10.23,-4.14,1.47
16229,5.008950522,10.09,-3.91,0.69
16230,5.009259164,10.66,-1.93,0.46
16231,5.009567806,10.61,0.69,0.34
16232,5.009876448,10.23,1.18,-0.4
16233,5.01018509,10.26,2.87,-0.83
16234,5.010493732,10.15,3.22,-0.52
16235,5.010802374,10.29,1.87,-0.32
16236,5.011111016,9.83,1.01,-0.23
16237,5.011419658,10.06,-0.52,-0.26
16238,5.0117283,10.03,-2.33,0.23
16239,5.012036942,9.2,-4.14,0.78
16240,5.012345584,10.86,-4.02,0.66
16241,5.012654226,10.09,-5.35,1.84
16242,5.012962868,8.28,-10.29,2.33
16243,5.01327151,10.03,-8.16,0.8
16244,5.013580152,9.77,-2.39,0.57
16245,5.013888794,9.43,-2.1,0.23
16246,5.014197436,10.26,1.01,-1.18
16247,5.014506078,9.0,5.75,-1.72
16248,5.01481472,8.82,5.75,-2.16
16249,5.015123362,9.37,6.96,-1.93
16250,5.015432004,9.37,8.31,-1.15
16251,5.015740646,9.77,6.21,-1.01
16252,5.016049287,10.23,4.77,-0.09
16253,5.016357929,10.72,3.25,1.41
16254,5.016666571,10.61,-0.11,1.84
16255,5.016975213,10.52,-1.95,1.64
16256,5.017283855,10.78,-3.56,2.01
16257,5.017592497,10.49,-5.32,2.36
16258,5.017901139,10.32,-4.48,1.67
16259,5.018209781,10.23,-3.59,0.86
16260,5.018518423,10.38,-2.76,0.69
16261,5.018827065,10.61,-0.29,0.49
16262,5.019135707,10.26,1.03,-0.09
16263,5.019444349,10.35,1.61,-0.6
16264,5.019752991,10.29,2.47,-0.63
16265,5.020061633,9.94,2.24,-0.37
16266,5.020370275,10.17,0.95,-0.23
16267,5.020678917,9.66,0.0,-0.34
16268,5.020987559,9.69,-1.44,0.03
16269,5.021296201,10.06,-3.76,0.78
16270,5.021604843,9.43,-3.51,0.72
16271,5.021913485,10.2,-4.94,1.15
16272,5.022222127,10.63,-8.51,2.33
16273,5.022530769,9.05,-7.76,1.93
16274,5.022839411,9.05,-7.56,0.63
16275,5.023148053,10.26,-4.37,0.14
16276,5.023456695,9.94,2.67,-0.17
16277,5.023765337,8.97,2.99,-1.32
16278,5.024073979,9.28,4.68,-2.44
16279,5.024382621,9.69,8.91,-2.07
16280,5.024691263,9.34,7.53,-1.47
16281,5.024999905,9.43,6.73,-1.35
16282,5.025308547,9.54,6.21,-0.55
16283,5.025617189,10.29,3.42,0.57
16284,5.025925831,10.92,1.06,1.58
16285,5.026234473,10.38,-1.26,1.93
16286,5.026543115,10.55,-3.25,1.78
16287,5.026851757,10.52,-4.94,2.1
16288,5.027160399,10.09,-5.35,2.13
16289,5.027469041,10.23,-4.37,1.32
16290,5.027777683,10.23,-3.68,0.6
16291,5.028086325,10.52,-1.67,0.46
16292,5.028394966,10.58,0.49,0.26
16293,5.028703608,10.26,1.49,-0.52
16294,5.02901225,10.17,2.82,-0.86
16295,5.029320892,10.2,2.96,-0.49
16296,5.029629534,10.23,1.9,-0.32
16297,5.029938176,9.89,0.78,-0.32
16298,5.030246818,10.06,-0.57,-0.17
16299,5.03055546,9.83,-2.44,0.4
16300,5.030864102,9.48,-4.17,0.72
16301,5.031172744,10.49,-4.11,0.89
16302,5.031481386,9.77,-6.21,2.04
16303,5.031790028,9.2,-9.83,1.98
16304,5.03209867,10.0,-7.01,0.75
16305,5.032407312,9.37,-3.22,0.63
16306,5.032715954,9.74,-2.33,0.0
16307,5.033024596,9.86,2.04,-1.15
16308,5.033333238,8.85,5.52,-1.75
16309,5.03364188,9.37,6.15,-2.27
16310,5.033950522,9.43,8.22,-1.72
16311,5.034259164,9.31,7.93,-1.06
16312,5.034567806,9.71,5.86,-0.98
16313,5.034876448,10.09,5.23,0.09
16314,5.03518509,10.81,2.76,1.49
