,Time,A1,A2,A3
21000,6.479481641,6.93,22.73,1.49
21001,6.479790188,7.56,20.46,0.57
21002,6.480098735,12.33,15.78,2.7
21003,6.480407282,12.36,14.03,6.35
21004,6.480715828,14.2,6.47,4.4
21005,6.481024375,16.04,-2.5,2.47
21006,6.481332922,12.33,-9.23,4.31
21007,6.481641469,11.47,-14.11,3.51
21008,6.481950015,10.49,-13.8,1.03
21009,6.482258562,7.82,-14.34,-0.09
21010,6.482567109,9.51,-12.82,-0.52
21011,6.482875656,10.32,-7.04,-0.26
21012,6.483184202,8.59,-6.21,-1.03
21013,6.483492749,10.12,-2.7,-2.39
21014,6.483801296,10.15,1.26,-1.29
21015,6.484109843,8.56,-0.92,0.03
21016,6.484418389,13.19,5.0,-0.29
21017,6.484726936,12.3,1.15,2.04
21018,6.485035483,5.17,-18.39,4.63
21019,6.48534403,9.74,-9.43,1.49
21020,6.485652576,14.51,10.55,0.14
21021,6.485961123,9.4,-4.57,3.88
21022,6.48626967,8.08,-24.63,2.13
21023,6.486578217,8.54,-15.72,-3.54
21024,6.486886763,7.99,-0.17,-3.62
21025,6.48719531,10.75,-0.98,-2.04
21026,6.487503857,9.34,-0.55,-4.37
21027,6.487812404,6.44,13.85,-6.52
21028,6.48812095,8.42,18.8,-5.03
21029,6.488429497,8.51,14.43,-1.38
21030,6.488738044,7.13,20.23,1.03
21031,6.489046591,7.44,22.13,0.72
21032,6.489355137,9.86,14.86,1.29
21033,6.489663684,12.82,13.08,4.8
21034,6.489972231,13.19,9.25,5.92
21035,6.490280778,14.77,-0.55,3.19
21036,6.490589324,14.26,-7.36,3.08
21037,6.490897871,10.84,-11.9,4.63
21038,6.491206418,10.86,-13.34,2.39
21039,6.491514965,9.94,-13.31,-0.2
21040,6.491823511,8.48,-13.05,-0.43
21041,6.492132058,9.89,-8.13,-0.52
21042,6.492440605,9.92,-4.63,-0.86
21043,6.492749151,8.77,-4.71,-2.18
21044,6.493057698,10.17,-0.95,-2.59
21045,6.493366245,10.58,2.24,-0.49
21046,6.493674792,9.02,0.49,-0.37
21047,6.493983338,12.13,1.98,0.09
21048,6.494291885,12.13,-2.3,4.2
21049,6.494600432,7.59,-13.08,3.65
21050,6.494908979,10.43,-1.52,0.14
21051,6.495217525,11.58,3.05,2.53
21052,6.495526072,7.41,-22.42,4.2
21053,6.495834619,8.13,-19.89,-0.52
21054,6.496143166,10.12,-3.22,-4.08
21055,6.496451712,9.83,-10.55,-3.02
21056,6.496760259,9.94,-1.9,-3.16
21057,6.497068806,8.74,15.81,-6.15
21058,6.497377353,5.26,15.09,-6.44
21059,6.497685899,7.41,16.87,-3.16
21060,6.497994446,10.49,22.36,0.03
21061,6.498302993,5.89,20.89,1.41
21062,6.49861154,8.13,19.08,1.12
21063,6.498920086,13.34,17.42,3.22
21064,6.499228633,11.35,11.21,6.09
21065,6.49953718,15.09,3.36,4.34
21066,6.499845727,16.35,-4.48,2.9
21067,6.500154273,11.35,-11.73,3.94
21068,6.50046282,11.18,-14.71,3.16
