,Time,A1,A2,A3
21000,6.479481641,15.43,16.12,-0.17
21001,6.479790188,8.56,6.44,1.84
21002,6.480098735,8.48,2.7,0.4
21003,6.480407282,11.35,-15.52,-3.13
21004,6.480715828,7.67,-18.02,-2.67
21005,6.481024375,6.96,8.82,-1.29
21006,6.481332922,11.67,0.8,-4.22
21007,6.481641469,5.95,-3.88,-4.37
21008,6.481950015,6.5,13.68,-3.79
21009,6.482258562,12.62,11.87,-3.51
21010,6.482567109,6.06,10.86,0.32
21011,6.482875656,7.44,17.99,0.06
21012,6.483184202,9.25,17.96,-0.55
21013,6.483492749,7.7,15.17,4.08
21014,6.483801296,14.57,15.0,5.86
21015,6.484109843,12.1,13.25,3.42
21016,6.484418389,12.07,4.94,2.56
21017,6.484726936,17.3,-1.44,5.0
21018,6.485035483,12.42,-4.45,4.74
21019,6.48534403,10.81,-11.21,0.78
21020,6.485652576,10.15,-16.3,-0.4
21021,6.485961123,8.82,-13.19,-0.03
21022,6.48626967,9.69,-12.7,-0.52
21023,6.486578217,8.05,-13.62,-2.24
21024,6.486886763,9.31,-7.44,-3.22
21025,6.48719531,9.28,-6.78,-1.06
21026,6.487503857,10.95,-0.83,-0.66
21027,6.487812404,12.47,3.28,1.44
21028,6.48812095,8.19,-9.25,5.09
21029,6.488429497,10.43,-6.47,2.27
21030,6.488738044,11.64,2.1,0.57
21031,6.489046591,11.41,8.94,2.64
21032,6.489355137,11.32,6.67,1.81
21033,6.489663684,4.8,-27.73,-1.09
21034,6.489972231,8.91,-28.25,-3.54
21035,6.490280778,11.52,-0.69,-2.96
21036,6.490589324,5.81,-7.64,-3.39
21037,6.490897871,10.38,-3.74,-6.18
21038,6.491206418,8.59,13.16,-5.75
21039,6.491514965,4.8,16.12,-3.39
21040,6.491823511,10.43,20.75,-0.03
21041,6.492132058,8.02,19.72,1.81
21042,6.492440605,6.06,23.19,0.49
21043,6.492749151,10.32,27.1,3.16
21044,6.493057698,11.41,17.62,6.5
21045,6.493366245,12.5,18.14,3.88
21046,6.493674792,14.05,13.36,1.67
21047,6.493983338,15.61,-5.29,3.02
21048,6.494291885,15.32,-10.09,3.62
21049,6.494600432,11.81,-14.74,1.9
21050,6.494908979,8.48,-21.7,0.17
21051,6.495217525,8.85,-15.58,0.46
21052,6.495526072,10.32,-13.77,1.35
21053,6.495834619,7.5,-16.12,0.2
21054,6.496143166,9.6,-8.19,-1.72
21055,6.496451712,10.89,-3.94,-0.78
21056,6.496760259,7.01,-6.01,-0.09
21057,6.497068806,13.88,3.91,-0.23
21058,6.497377353,13.08,-0.63,2.96
21059,6.497685899,2.99,-26.61,3.54
21060,6.497994446,9.97,-12.27,-0.55
21061,6.498302993,16.76,19.43,-0.69
21062,6.49861154,8.85,5.83,2.62
21063,6.498920086,6.5,-14.11,1.47
21064,6.499228633,12.01,-11.98,-3.05
21065,6.49953718,7.93,-5.6,-2.85
21066,6.499845727,6.32,0.4,-1.58
21067,6.500154273,12.24,0.83,-4.2
21068,6.50046282,6.52,4.31,-5.0
21069,6.500771367,6.27,13.16,-4.68
21070,6.501079914,11.5,12.88,-3.42
21071,6.50138846,6.44,12.85,0.26
21072,6.501697007,7.13,19.23,0.23
21073,6.502005554,8.62,18.28,-0.09
21074,6.502314101,9.23,14.2,4.43
21075,6.502622647,13.82,14.66,6.58
21076,6.502931194,12.19,10.61,3.54
21077,6.503239741,13.85,2.39,2.5
21078,6.503548288,16.38,-3.45,5.29
21079,6.503856834,11.96,-8.02,4.45
21080,6.504165381,10.55,-12.47,0.32
21081,6.504473928,10.03,-14.54,-0.83
21082,6.504782475,9.25,-11.78,-0.17
21083,6.505091021,9.28,-12.19,-0.4
21084,6.505399568,8.42,-11.9,-2.47
21085,6.505708115,9.74,-5.12,-3.19
21086,6.506016662,9.17,-5.95,-0.72
21087,6.506325208,9.89,-2.33,-0.37
21088,6.506633755,12.65,4.05,1.03
21089,6.506942302,9.86,-6.75,4.63
21090,6.507250849,9.31,-9.37,2.79
21091,6.507559395,11.9,1.81,0.34
21092,6.507867942,10.89,7.99,2.44
21093,6.508176489,8.94,-2.21,3.02
21094,6.508485035,7.76,-25.18,-0.86
21095,6.508793582,9.0,-20.69,-4.05
21096,6.509102129,9.46,-3.31,-3.05
21097,6.509410676,8.68,-6.64,-3.71
21098,6.509719222,9.05,1.01,-6.5
21099,6.510027769,6.18,16.24,-6.15
21100,6.510336316,7.16,17.1,-3.65
21101,6.510644863,10.66,18.25,0.09
21102,6.510953409,6.55,22.73,1.75
21103,6.511261956,6.38,25.46,0.66
21104,6.511570503,10.72,21.58,3.51
21105,6.51187905,11.15,17.73,6.58
21106,6.512187596,13.02,18.88,4.17
21107,6.512496143,15.4,7.21,1.98
21108,6.51280469,15.69,-7.16,3.36
21109,6.513113237,14.11,-10.61,4.05
21110,6.513421783,11.24,-16.99,1.84
21111,6.51373033,8.97,-19.63,0.03
21112,6.514038877,8.79,-14.6,0.43
21113,6.514347424,10.06,-13.57,0.75
21114,6.51465597,8.05,-13.08,-0.23
21115,6.514964517,9.2,-7.36,-1.72
21116,6.515273064,10.92,-3.59,-1.06
21117,6.515581611,7.41,-4.71,0.11
21118,6.515890157,12.82,1.95,-0.37
21119,6.516198704,13.08,-1.15,2.36
21120,6.516507251,3.59,-24.75,4.22
21121,6.516815798,10.26,-14.17,-0.03
21122,6.517124344,16.61,20.03,-0.75
21123,6.517432891,9.37,5.43,3.48
21124,6.517741438,8.19,-24.23,2.01
21125,6.518049985,9.89,-12.9,-3.33
21126,6.518358531,7.07,4.31,-3.48
21127,6.518667078,7.96,0.6,-1.81
21128,6.518975625,9.89,-2.1,-4.31
21129,6.519284172,7.67,8.59,-6.12
21130,6.519592718,7.62,17.07,-4.89
21131,6.519901265,9.37,12.1,-2.73
21132,6.520209812,7.7,13.02,0.06
21133,6.520518359,5.98,21.04,0.34
21134,6.520826905,8.28,17.56,0.37
21135,6.521135452,11.47,13.62,4.74
21136,6.521443999,12.01,14.0,6.52
21137,6.521752546,13.28,8.59,3.25
21138,6.522061092,15.03,-0.34,3.1
21139,6.522369639,14.49,-6.38,5.52
21140,6.522678186,12.59,-8.31,4.14
21141,6.522986732,10.09,-13.71,0.43
