,Time,A1,A2,A3
17045,5.259179266,13.74,5.86,0.34
17046,5.259487812,14.11,2.07,4.74
17047,5.259796359,6.38,-7.67,4.05
17048,5.260104906,9.17,-0.89,0.37
17049,5.260413453,11.52,5.69,1.95
17050,5.260721999,10.43,3.25,1.52
17051,5.261030546,8.25,2.41,-1.61
17052,5.261339093,6.87,-7.01,-2.5
17053,5.26164764,10.43,-20.55,-2.96
17054,5.261956186,7.79,-18.8,-2.47
17055,5.262264733,8.33,-5.14,-2.73
17056,5.26257328,11.58,0.95,-3.48
17057,5.262881827,6.75,1.95,-2.24
17058,5.263190373,8.91,13.51,-1.12
17059,5.26349892,10.49,17.19,0.06
17060,5.263807467,6.58,13.08,0.78
17061,5.264116014,9.89,21.3,1.41
17062,5.26442456,11.7,19.14,3.42
17063,5.264733107,11.24,10.81,3.28
17064,5.265041654,13.68,13.45,2.27
17065,5.265350201,14.31,4.6,3.25
17066,5.265658747,13.19,-6.27,3.08
17067,5.265967294,11.24,-7.36,1.21
17068,5.266275841,9.02,-14.05,0.17
17069,5.266584388,8.45,-16.12,0.52
17070,5.266892934,9.08,-12.19,0.23
17071,5.267201481,8.25,-13.62,-0.75
17072,5.267510028,8.71,-8.25,-1.15
17073,5.267818575,10.95,-1.58,-0.8
17074,5.268127121,10.06,-2.96,-0.23
17075,5.268435668,11.96,6.18,-0.75
17076,5.268744215,12.24,5.4,1.9
17077,5.269052761,7.27,-11.81,5.46
17078,5.269361308,10.52,-0.92,2.16
17079,5.269669855,12.44,5.03,0.14
17080,5.269978402,9.02,-7.56,2.16
17081,5.270286948,10.95,8.36,0.29
17082,5.270595495,8.74,2.62,-2.13
17083,5.270904042,6.01,-25.67,-2.64
17084,5.271212589,8.82,-12.79,-2.64
17085,5.271521135,9.63,-0.89,-2.5
17086,5.271829682,10.03,-6.35,-3.1
17087,5.272138229,8.71,2.04,-3.1
17088,5.272446776,8.1,10.61,-2.5
17089,5.272755322,9.2,12.21,-0.72
17090,5.273063869,7.82,13.91,0.95
17091,5.273372416,9.23,19.37,0.72
17092,5.273680963,10.43,17.45,2.1
17093,5.273989509,10.92,10.86,3.82
17094,5.274298056,13.13,13.59,3.31
17095,5.274606603,13.22,5.95,3.1
17096,5.27491515,14.11,-4.4,3.28
17097,5.275223696,11.98,-4.48,2.36
17098,5.275532243,9.28,-11.35,0.52
17099,5.27584079,9.51,-14.54,0.14
17100,5.276149337,8.05,-12.07,0.17
17101,5.276457883,9.2,-12.1,-1.15
17102,5.27676643,8.65,-9.02,-1.12
17103,5.277074977,9.69,-4.57,-1.18
17104,5.277383524,11.73,-1.61,-1.15
17105,5.27769207,8.25,0.37,-0.52
17106,5.278000617,13.94,6.7,0.06
17107,5.278309164,14.2,2.53,3.99
17108,5.278617711,5.52,-9.28,4.28
17109,5.278926257,9.54,-2.07,0.49
17110,5.279234804,11.73,4.2,1.81
17111,5.279543351,10.17,3.56,1.87
17112,5.279851898,8.74,-2.27,-0.69
17113,5.280160444,5.72,-18.62,-1.9
17114,5.280468991,9.6,-15.63,-3.25
17115,5.280777538,9.6,-9.54,-2.41
17116,5.281086085,9.08,-10.43,-2.59
17117,5.281394631,11.15,3.97,-3.99
17118,5.281703178,6.93,9.77,-3.16
17119,5.282011725,7.79,11.52,-1.93
17120,5.282320272,9.94,19.23,0.34
17121,5.282628818,7.39,17.59,1.24
17122,5.282937365,9.37,18.62,1.01
17123,5.283245912,12.1,17.99,3.51
17124,5.283554459,12.21,12.16,4.11
17125,5.283863005,13.42,9.05,2.73
17126,5.284171552,14.89,-0.14,3.19
17127,5.284480099,12.7,-7.9,3.13
17128,5.284788645,9.6,-10.2,1.32
17129,5.285097192,9.69,-14.8,0.2
